text,orders,processed_text,category
"Mexican Black Bean and Corn Salad
Ingredients: - Black beans - Corn kernels - Red bell pepper - Red onion - Cherry tomatoes - Avocado - Cilantro - Lime juice - Olive oil - Cumin - Salt - Pepper.
Procedure: - Drain and rinse black beans. - Cook corn kernels. - Dice red bell pepper, red onion, cherry tomatoes, and avocado. - Chop cilantro. - In a large bowl, combine all ingredients. - Prepare dressing by mixing lime juice, olive oil, cumin, salt, and pepper. - Drizzle dressing over salad and toss gently to coat.",12,mexican black bean corn salad ingredient black bean corn kernel red bell pepper red onion cherry tomato avocado cilantro lime juice olive oil cumin salt pepper procedure drain rinse black bean cook corn kernel dice red bell pepper red onion cherry tomato avocado chop cilantro large bowl combine ingredient prepare dressing mixing lime juice olive oil cumin salt pepper drizzle dressing salad toss gently coat,0
"Asian Sesame Noodle Salad
Ingredients: - Soba noodles - Cabbage - Carrots - Bell pepper - Edamame - Green onions - Sesame seeds - Soy sauce - Rice vinegar - Sesame oil - Honey - Garlic - Ginger.
Procedure: - Cook soba noodles according to package instructions. - Shred cabbage, julienne carrots, and bell pepper. - Cook edamame. - Slice green onions. - In a large bowl, combine cooked noodles, vegetables, and sesame seeds. - Prepare dressing by mixing soy sauce, rice vinegar, sesame oil, honey, minced garlic, and grated ginger. - Toss salad with dressing until well coated.",10,asian sesame noodle salad ingredient soba noodle cabbage carrot bell pepper edamame green onion sesame seed soy sauce rice vinegar sesame oil honey garlic ginger procedure cook soba noodle according package instruction shred cabbage julienne carrot bell pepper cook edamame slice green onion large bowl combine cooked noodle vegetable sesame seed prepare dressing mixing soy sauce rice vinegar sesame oil honey minced garlic grated ginger toss salad dressing well coated,0
"Mediterranean Chickpea Salad
Ingredients: - Chickpeas - Cucumber - Cherry tomatoes - Red onion - Kalamata olives - Feta cheese - Lemon juice - Olive oil - Garlic - Oregano - Salt - Pepper.
Procedure: - Drain and rinse chickpeas. - Dice cucumber, halve cherry tomatoes, and slice red onion. - Pit and halve Kalamata olives. - Crumble feta cheese. - In a large bowl, combine all ingredients. - Prepare dressing by whisking together lemon juice, olive oil, minced garlic, dried oregano, salt, and pepper. - Drizzle dressing over salad and toss gently to coat.",18,mediterranean chickpea salad ingredient chickpea cucumber cherry tomato red onion kalamata olive feta cheese lemon juice olive oil garlic oregano salt pepper procedure drain rinse chickpea dice cucumber halve cherry tomato slice red onion pit halve kalamata olive crumble feta cheese large bowl combine ingredient prepare dressing whisking together lemon juice olive oil minced garlic dried oregano salt pepper drizzle dressing salad toss gently coat,0
"Caprese Salad
Ingredients: - Fresh mozzarella - Tomatoes - Fresh basil leaves - Balsamic vinegar - Extra virgin olive oil - Salt - Pepper.
Procedure: - Slice fresh mozzarella and tomatoes. - Arrange mozzarella, tomatoes, and basil leaves on a plate. - Drizzle with balsamic vinegar and olive oil. - Season with salt and pepper to taste.",12,caprese salad ingredient fresh mzarella tomato fresh basil leaf balsamic vinegar extra virgin olive oil salt pepper procedure slice fresh mzarella tomato arrange mzarella tomato basil leaf plate drizzle balsamic vinegar olive oil season salt pepper taste,0
"Thai Mango Salad
Ingredients: - Ripe mango - Red bell pepper - Red onion - Cilantro - Mint leaves - Peanuts - Lime juice - Fish sauce - Brown sugar - Chili flakes.
Procedure: - Peel and slice ripe mango. - Julienne red bell pepper and red onion. - Chop cilantro and mint leaves. - Crush peanuts. - In a large bowl, combine mango, bell pepper, onion, cilantro, mint, and peanuts. - Prepare dressing by mixing lime juice, fish sauce, brown sugar, and chili flakes. - Toss salad with dressing until well combined.",14,thai mango salad ingredient ripe mango red bell pepper red onion cilantro mint leaf peanut lime juice fish sauce brown sugar chili flake procedure peel slice ripe mango julienne red bell pepper red onion chop cilantro mint leaf crush peanut large bowl combine mango bell pepper onion cilantro mint peanut prepare dressing mixing lime juice fish sauce brown sugar chili flake toss salad dressing well combined,0
"Greek Orzo Salad
Ingredients: - Orzo pasta - Cucumber - Cherry tomatoes - Red onion - Kalamata olives - Feta cheese - Lemon juice - Olive oil - Dried oregano - Salt - Pepper.
Procedure: - Cook orzo pasta according to package instructions. - Dice cucumber, halve cherry tomatoes, and slice red onion. - Pit and halve Kalamata olives. - Crumble feta cheese. - In a large bowl, combine cooked orzo, vegetables, and feta cheese. - Prepare dressing by whisking together lemon juice, olive oil, dried oregano, salt, and pepper. - Drizzle dressing over salad and toss gently to combine.",19,greek orzo salad ingredient orzo pasta cucumber cherry tomato red onion kalamata olive feta cheese lemon juice olive oil dried oregano salt pepper procedure cook orzo pasta according package instruction dice cucumber halve cherry tomato slice red onion pit halve kalamata olive crumble feta cheese large bowl combine cooked orzo vegetable feta cheese prepare dressing whisking together lemon juice olive oil dried oregano salt pepper drizzle dressing salad toss gently combine,5
"Southwest Quinoa Salad
Ingredients: - Quinoa - Black beans - Corn kernels - Red bell pepper - Green onions - Avocado - Cilantro - Lime juice - Olive oil - Cumin - Chili powder - Salt - Pepper.
Procedure: - Cook quinoa according to package instructions. - Drain and rinse black beans. - Cook corn kernels. - Dice red bell pepper, slice green onions, and chop cilantro. - Pit and dice avocado. - In a large bowl, combine cooked quinoa, black beans, corn, bell pepper, green onions, avocado, and cilantro. - Prepare dressing by mixing lime juice, olive oil, cumin, chili powder, salt, and pepper. - Drizzle dressing over salad and toss gently to coat.",14,southwest quinoa salad ingredient quinoa black bean corn kernel red bell pepper green onion avocado cilantro lime juice olive oil cumin chili powder salt pepper procedure cook quinoa according package instruction drain rinse black bean cook corn kernel dice red bell pepper slice green onion chop cilantro pit dice avocado large bowl combine cooked quinoa black bean corn bell pepper green onion avocado cilantro prepare dressing mixing lime juice olive oil cumin chili powder salt pepper drizzle dressing salad toss gently coat,0
"Tuscan Panzanella Salad
Ingredients: - Ciabatta bread - Tomatoes - Cucumber - Red onion - Basil leaves - Red wine vinegar - Extra virgin olive oil - Salt - Pepper.
Procedure: - Cube ciabatta bread and toast until golden brown. - Dice tomatoes and cucumber. - Slice red onion thinly. - Tear basil leaves. - In a large bowl, combine toasted bread cubes, tomatoes, cucumber, red onion, and basil leaves. - Prepare dressing by whisking together red wine vinegar, olive oil, salt, and pepper. - Drizzle dressing over salad and toss gently to combine.",8,tuscan panzanella salad ingredient ciabatta bread tomato cucumber red onion basil leaf red wine vinegar extra virgin olive oil salt pepper procedure cube ciabatta bread toast golden brown dice tomato cucumber slice red onion thinly tear basil leaf large bowl combine toasted bread cube tomato cucumber red onion basil leaf prepare dressing whisking together red wine vinegar olive oil salt pepper drizzle dressing salad toss gently combine,0
"Kale Caesar Salad
Ingredients: - Kale - Croutons - Parmesan cheese - Caesar dressing (anchovies, garlic, lemon juice, Dijon mustard, olive oil, Parmesan cheese, Worcestershire sauce) - Salt - Pepper.
Procedure: - Wash and chop kale leaves. - Prepare croutons. - Shave or grate Parmesan cheese. - Toss kale with croutons and Parmesan cheese. - Prepare Caesar dressing by blending anchovies, garlic, lemon juice, Dijon mustard, olive oil, Parmesan cheese, and Worcestershire sauce until smooth. - Drizzle dressing over salad and toss to coat. - Season with salt and pepper to taste.",10,kale caesar salad ingredient kale crouton parmesan cheese caesar dressing salt pepper procedure wash chop kale leaf prepare crouton shave grate parmesan cheese toss kale crouton parmesan cheese prepare caesar dressing blending anchovy garlic lemon juice dijon mustard olive oil parmesan cheese worcestershire sauce smooth drizzle dressing salad toss coat season salt pepper taste,5
"Summer Berry Spinach Salad
Ingredients: - Baby spinach - Strawberries - Blueberries - Raspberries - Feta cheese - Walnuts - Balsamic glaze - Olive oil - Honey - Dijon mustard - Salt - Pepper.
Procedure: - Wash and dry baby spinach. - Hull and slice strawberries. - Rinse blueberries and raspberries. - Crumble feta cheese. - Toast walnuts. - In a large bowl, combine spinach, berries, feta cheese, and walnuts. - Prepare dressing by whisking together balsamic glaze, olive oil, honey, Dijon mustard, salt, and pepper. - Drizzle dressing over salad and toss gently to coat.",8,summer berry spinach salad ingredient baby spinach strawberry blueberry raspberry feta cheese walnut balsamic glaze olive oil honey dijon mustard salt pepper procedure wash dry baby spinach hull slice strawberry rinse blueberry raspberry crumble feta cheese toast walnut large bowl combine spinach berry feta cheese walnut prepare dressing whisking together balsamic glaze olive oil honey dijon mustard salt pepper drizzle dressing salad toss gently coat,0
